u,y,fs
0,0,10
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
4.95,0,
0,1.124144673,
0,2.424242424,
4.95,1.700879765,
0,2.233626588,
0,2.502443793,
4.95,1.847507331,
4.95,3.054740958,
0,3.954056696,
0,3.289345064,
0,2.521994135,
0,1.964809384,
4.95,1.265884653,
4.95,2.497556207,
4.95,3.812316716,
0,4.134897361,
0,3.704789834,
4.95,2.976539589,
0,3.220918866,
4.95,3.216031281,
0,3.528836755,
0,3.34799609,
0,2.820136852,
4.95,2.253176931,
4.95,2.595307918,
0,3.831867058,
4.95,3.445747801,
4.95,3.968719453,
4.95,4.164222874,
4.95,4.203323558,
0,4.203323558,
0,3.924731183,
0,3.049853372,
0,2.272727273,
4.95,1.37829912,
0,1.617790811,
0,2.468230694,
0,1.803519062,
4.95,1.295210166,
0,2.561094819,
0,2.678396872,
0,2.126099707,
0,1.598240469,
4.95,1.109481916,
0,2.018572825,
4.95,3.000977517,
4.95,3.343108504,
4.95,4.134897361,
4.95,4.183773216,
4.95,4.213098729,
0,4.217986315,
4.95,3.646138807,
4.95,3.978494624,
4.95,4.149560117,
4.95,4.193548387,
4.95,4.208211144,
4.95,4.217986315,
0,4.2228739,
4.95,3.641251222,
0,3.739002933,
0,3.563049853,
4.95,2.761485826,
0,3.450635386,
0,3.582600196,
0,2.624633431,
0,2.023460411,
0,1.319648094,
4.95,0.6158357771,
4.95,2.043010753,
0,3.470185728,
0,3.220918866,
4.95,2.404692082,
0,3.084066471,
0,3.225806452,
0,2.487781036,
4.95,1.867057674,
4.95,2.751710655,
4.95,3.919843597,
0,4.154447703,
4.95,3.543499511,
0,3.875855327,
0,3.748778104,
0,2.981427175,
4.95,2.316715543,
0,3.294232649,
4.95,3.274682307,
4.95,3.372434018,
0,4.056695992,
0,3.387096774,
4.95,2.668621701,
4.95,3.484848485,
0,4.100684262,
4.95,3.695014663,
0,3.885630499,
4.95,3.553274682,
0,3.822091887,
4.95,3.523949169,
0,3.929618768,
4.95,3.455522972,
4.95,3.792766373,
0,4.154447703,
4.95,3.538611926,
4.95,3.626588465,
0,4.134897361,
4.95,3.690127077,
4.95,3.758553275,
4.95,4.139784946,
0,4.203323558,
4.95,3.670576735,
0,3.998044966,
4.95,3.396871945,
4.95,3.924731183,
4.95,4.188660802,
4.95,4.198435973,
0,4.213098729,
4.95,3.592375367,
4.95,3.660801564,
0,4.08113392,
0,3.553274682,
4.95,2.781036168,
0,3.572825024,
4.95,3.714565005,
4.95,4.086021505,
4.95,4.198435973,
0,4.232649071,
0,3.455522972,
0,2.766373412,
0,1.974584555,
0,1.080156403,
4.95,0.5767350929,
0,1.085043988,
4.95,2.502443793,
0,2.991202346,
0,3.113391984,
4.95,2.267839687,
0,2.922776149,
4.95,2.991202346,
4.95,3.396871945,
0,4.095796676,
4.95,3.567937439,
0,3.890518084,
4.95,3.724340176,
4.95,3.924731183,
0,4.17888563,
0,3.822091887,
0,2.966764418,
0,2.116324536,
0,1.578690127,
0,1.119257087,
4.95,0.3714565005,
4.95,1.989247312,
4.95,3.426197458,
4.95,4.110459433,
4.95,4.173998045,
4.95,4.203323558,
4.95,4.208211144,
0,4.227761486,
0,3.768328446,
4.95,3.128054741,
0,3.616813294,
0,3.616813294,
4.95,2.707722385,
0,3.543499511,
4.95,3.48973607,
0,3.685239492,
4.95,3.308895406,
4.95,3.567937439,
4.95,4.115347019,
0,4.208211144,
4.95,3.602150538,
4.95,4.002932551,
0,4.208211144,
4.95,3.8514174,
0,3.890518084,
0,3.440860215,
0,2.463343109,
0,1.83773216,
4.95,1.182795699,
4.95,2.326490714,
0,3.724340176,
4.95,3.34799609,
0,3.905180841,
0,3.396871945,
4.95,2.65884653,
4.95,3.651026393,
4.95,4.08113392,
0,4.193548387,
4.95,3.753665689,
4.95,4.022482893,
4.95,4.17888563,
0,4.208211144,
0,3.797653959,
