yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,3.3000000000000003,0.0,
4.0,2.8088250000000006,1.427,
4.0,2.2197380250000003,2.6734999999999998,
4.0,2.4034648109250005,2.7225,
4.0,2.622664416492225,2.7175,
4.0,2.7212139232427486,2.859,
4.0,2.83898428147302,2.947,
4.0,2.9608893286286007,3.0109999999999997,
4.0,3.0519051606427148,3.0985,
4.0,3.130722945160787,3.182,
4.0,3.316050276325304,3.1185,
4.0,3.322533125496328,3.2845000000000004,
4.0,3.4048875261198392,3.3234999999999997,
4.0,3.4719588635414795,3.3725,
4.0,3.554640486950855,3.392,
4.0,3.6134685654900025,3.436,
4.0,3.6888016597935325,3.4505000000000003,
4.0,3.728798254814152,3.5044999999999997,
4.0,3.7716538600497094,3.5435,
4.0,3.8438948984695607,3.5385,
4.0,3.884201713774152,3.573,
4.0,3.9266346086328294,3.5975,
4.0,3.981177204806931,3.6020000000000003,
4.0,4.005898173192511,3.6414999999999997,
4.0,4.048421978672933,3.651,
4.0,4.072665212736915,3.6805,
4.0,4.116040217098703,3.6805,
4.0,4.143197596447408,3.7,
4.0,4.182968003658066,3.7,
4.0,4.182194099647091,3.749,
4.0,4.22982151734815,3.729,
4.0,4.251911052796106,3.744,
4.0,4.263486819637717,3.7685000000000004,
4.0,4.303352359178804,3.7535000000000003,
4.0,4.3089958021012675,3.7830000000000004,
4.0,4.317739314694965,3.8024999999999998,
4.0,4.363488596750879,3.773,
4.0,4.385771130960626,3.7780000000000005,
4.0,4.395154317567745,3.7975,
4.0,4.420916354615041,3.793,
4.0,4.427584105551197,3.8125,
4.0,4.426713853234543,3.8369999999999997,
4.0,4.46613321167484,3.8074999999999997,
4.0,4.482104812039815,3.8125,
4.0,4.457145997603695,3.866,
4.0,4.483178059610884,3.8465,
4.0,4.496437525432051,3.8465,
4.0,4.501407212855755,3.8565,
4.0,4.516996991217187,3.8514999999999997,
4.0,4.521447500243536,3.8609999999999998,
0.0,1.2118566577428058,3.8855,
0.0,1.0481815877695775,3.2600000000000002,
0.0,0.9496970430062692,2.6879999999999997,
0.0,0.9143234518772505,2.1605,
0.0,0.927115981521619,1.686,
0.0,0.864858133577054,1.4025,
0.0,0.8319035591763231,1.1435,
0.0,0.7715138484987942,0.9725,
0.0,0.7328093069532977,0.8115,
0.0,0.6054973790324379,0.792,
0.0,0.6354103868953407,0.5865,
0.0,0.8338156557346545,0.21999999999999997,
0.0,0.4341592087674506,0.655,
0.0,0.4884242311411483,0.44949999999999996,
0.0,0.4974334584477248,0.342,
0.0,0.5209956580723817,0.2395,
0.0,0.4051596710981645,0.3275,
0.0,0.50040919208487,0.1415,
0.0,0.48624946450861545,0.127,
0.0,0.3496677161150896,0.264,
0.0,0.4561327129667444,0.078,
0.0,0.5055423148278442,0.0,
0.0,0.5040256878833606,0.0,
0.0,0.5025136108197105,0.0,
0.0,0.5010060699872514,0.0,
0.0,0.49950305177728965,0.0,
0.0,0.4980045426219578,0.0,
0.0,0.4965105289940919,0.0,
0.0,0.49502099740710964,0.0,
0.0,0.4935359344148883,0.0,
0.0,0.4920553266116437,0.0,
0.0,0.4905791606318088,0.0,
0.0,0.4891074231499133,0.0,
0.0,0.4876401008804636,0.0,
0.0,0.4861771805778222,0.0,
0.0,0.48471864903608874,0.0,
0.0,0.48326449308898045,0.0,
0.0,0.48181469960971357,0.0,
0.0,0.4803692555108844,0.0,
0.0,0.4789281477443518,0.0,
0.0,0.47749136330111863,0.0,
0.0,0.4760588892112153,0.0,
0.0,0.4746307125435817,0.0,
0.0,0.4732068204059509,0.0,
0.0,0.4717871999447331,0.0,
0.0,0.47037183834489893,0.0,
0.0,0.46896072282986423,0.0,
0.0,0.4675538406613746,0.0,
0.0,0.46615117913939047,0.0,
0.0,0.4647527256019723,0.0,
5.0,4.588358467425166,0.0,
5.0,4.04951839202289,1.691,
5.0,3.286535836846821,3.2990000000000004,
5.0,3.5041752293362807,3.382,
5.0,3.722807203648271,3.4455,
5.0,3.9619092820373263,3.4699999999999998,
5.0,4.139518554191214,3.563,
5.0,4.31237549852864,3.6414999999999997,
5.0,4.459504872033054,3.734,
5.0,4.6098978574169545,3.8024999999999998,
5.0,4.707495663844703,3.92,
5.0,4.792605676853169,4.0275,
5.0,4.90743035982261,4.0760000000000005,
5.0,4.9482965687431415,4.2035,
