yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,3.932886499999999,1.5345,
4.0,1.486046684999998,3.338,
4.0,1.5063908761499967,2.9865000000000004,
4.0,1.9891190213584955,2.6100000000000003,
4.0,2.4443474006762096,2.4635000000000002,
4.0,2.554113863384073,2.6195000000000004,
4.0,2.7033655252518236,2.7075,
4.0,2.7372716080771875,2.8545,
4.0,2.8079701897014364,2.9425,
4.0,2.9459019894140908,2.9765,
4.0,2.9929892110261216,3.0745,
4.0,3.047277341949007,3.1475,
4.0,3.145846713074772,3.182,
4.0,3.2262985518096006,3.2305,
4.0,3.3443607738235572,3.25,
4.0,3.391364358461378,3.3185,
4.0,3.4827509710876514,3.343,
4.0,3.529082019441318,3.3970000000000002,
4.0,3.59707339183426,3.426,
4.0,3.6384656567659497,3.4699999999999998,
4.0,3.70552414617698,3.4894999999999996,
4.0,3.757799538213824,3.519,
4.0,3.7724605845730688,3.568,
4.0,3.8312535070227325,3.5775,
4.0,3.925672862928428,3.568,
4.0,3.9879632149963347,3.5875000000000004,
4.0,3.989342085060263,3.6414999999999997,
4.0,4.050422292189377,3.6414999999999997,
4.0,4.081811643023406,3.6654999999999998,
4.0,4.143173222806697,3.6654999999999998,
4.0,4.179697351214144,3.685,
4.0,4.185456276592475,3.7195,
4.0,4.24652573775231,3.7095000000000002,
4.0,4.287859759676003,3.7195,
4.0,4.288834259065599,3.7535000000000003,
4.0,4.334521853884744,3.749,
4.0,4.365840110050889,3.7585,
4.0,4.3941062849516435,3.7685000000000004,
4.0,4.396715255523113,3.793,
4.0,4.458733988932476,3.773,
4.0,4.480974899729413,3.7880000000000003,
4.0,4.4577270941903695,3.827,
4.0,4.498981833468699,3.8125,
4.0,4.491705676476556,3.8369999999999997,
4.0,4.527136396318509,3.827,
4.0,4.50224718733298,3.8609999999999998,
4.0,4.520486296736646,3.8565,
4.0,4.531203435037843,3.8609999999999998,
4.0,4.533095624168933,3.871,
0.0,0.0,3.8905000000000003,
0.0,0.12946982369926863,3.1624999999999996,
0.0,0.7307079520517636,2.385,
0.0,1.5468960407912857,1.701,
0.0,1.4598631140695042,1.7545,
0.0,1.293071898590684,1.7449999999999999,
0.0,1.1580541467962284,1.6569999999999998,
0.0,1.0128923261594631,1.564,
0.0,1.1057454157732989,1.3195000000000001,
0.0,0.9049477552806862,1.3195000000000001,
0.0,0.8284506741250098,1.207,
0.0,0.9256242903723124,1.002,
0.0,0.8026594349088263,0.9875,
0.0,0.831000860348649,0.8555,
0.0,0.7185835344672176,0.8405,
0.0,0.8206185287486814,0.6745,
0.0,0.6449625412684243,0.7284999999999999,
0.0,0.5857753413782982,0.6695,
0.0,0.743687360912843,0.484,
0.0,0.5655274290503005,0.567,
0.0,0.5356284887042335,0.5085,
0.0,0.674334492436397,0.35700000000000004,
0.0,0.5384886565228855,0.42500000000000004,
0.0,0.5331724952501262,0.37150000000000005,
0.0,0.5257583553153993,0.3325,
0.0,0.5291307762651875,0.2935,
0.0,0.5441417383652261,0.254,
0.0,0.4919573214379874,0.264,
0.0,0.3918040320198275,0.2935,
0.0,0.4697449049998592,0.1955,
0.0,0.6783219533240614,0.049,
0.0,0.31035732176276115,0.313,
0.0,0.4837615040321399,0.127,
0.0,0.5246527324762486,0.098,
0.0,0.4573237185986513,0.1415,
0.0,0.331116246290633,0.20049999999999998,
0.0,0.4939586166795017,0.054000000000000006,
0.0,0.5975341860015304,0.0,
0.0,0.6047474702170508,0.0195,
0.0,0.4261801021397583,0.1415,
0.0,0.3018209206962096,0.18100000000000002,
0.0,0.5104042553980213,0.0,
0.0,0.31978333542157505,0.1415,
0.0,0.48560199638242907,0.0,
0.0,0.4050739391099968,0.0685,
0.0,0.4932164775956361,0.0,
0.0,0.5119064052116172,0.0,
0.0,0.5243092387890486,0.0,
0.0,0.4239197875522646,0.0685,
0.0,0.42866725696009467,0.044000000000000004,
5.0,5.0,0.0295,
5.0,2.7471010254405743,1.7890000000000001,
5.0,0.5586572829945702,3.04,
5.0,0.9070135996813868,2.4535,
5.0,1.8005093009122963,1.955,
5.0,2.3618674711619425,1.965,
5.0,2.476457599333285,2.307,
5.0,2.5860384203003495,2.566,
5.0,2.8120600291682907,2.703,
5.0,2.9165143008668695,2.9130000000000003,
5.0,3.140330388309721,3.0109999999999997,
