yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,4.532,0.0,
4.0,5.0,1.4224999999999999,
4.0,3.3932807999999994,3.563,
4.0,2.5089561319999993,3.646,
4.0,2.193773235399999,3.338,
4.0,2.273780795340799,3.0204999999999997,
4.0,2.4945068171350906,2.8689999999999998,
4.0,2.737534915477706,2.835,
4.0,2.909546755669524,2.903,
4.0,2.9870773210140356,3.0204999999999997,
4.0,3.015726666204963,3.1185,
4.0,3.068357063852681,3.1525,
4.0,3.146301678661552,3.167,
4.0,3.1723197315903215,3.2405,
4.0,3.2268398615575222,3.2600000000000002,
4.0,3.291136412526861,3.2795,
4.0,3.3449781639449268,3.3139999999999996,
4.0,3.3758596975114186,3.3625,
4.0,3.4437047330486075,3.3625,
4.0,3.491220365455725,3.3970000000000002,
4.0,3.5450126398509942,3.4165,
4.0,3.543851994221256,3.485,
4.0,3.600394670269927,3.4699999999999998,
4.0,3.6514791471547348,3.485,
4.0,3.698664949756436,3.5044999999999997,
4.0,3.7703156067499095,3.4995,
4.0,3.789424894330022,3.5535,
4.0,3.8155871843508855,3.573,
4.0,3.8778619260836047,3.558,
4.0,3.895250026149666,3.6020000000000003,
4.0,3.925758177083163,3.612,
4.0,3.964404641291861,3.617,
4.0,4.008652314021941,3.6215,
4.0,4.039354430373285,3.6414999999999997,
4.0,4.039954184745422,3.6805,
4.0,4.0684223008260005,3.6755,
4.0,4.120514862926438,3.6609999999999996,
4.0,4.118656922454874,3.7095000000000002,
4.0,4.156225983133119,3.695,
4.0,4.162407818454233,3.7245,
4.0,4.201914119776467,3.7095000000000002,
4.0,4.2250642492207335,3.7245,
4.0,4.247055045949949,3.734,
4.0,4.271475504691886,3.739,
4.0,4.263680506547472,3.773,
4.0,4.273195434958223,3.773,
4.0,4.294195879845515,3.7685000000000004,
4.0,4.313355916328022,3.773,
4.0,4.354238129681375,3.7585,
4.0,4.386924086722562,3.7635,
0.0,0.0,3.7780000000000005,
0.0,0.0,3.084,
0.0,0.6092872000000003,2.258,
0.0,1.4421431880000002,1.6764999999999999,
0.0,1.9171614025999997,1.6420000000000001,
0.0,2.0942510346272,1.7255,
0.0,1.6633832663858283,2.1555,
0.0,1.278051753337055,2.165,
0.0,1.0706463364355,1.9694999999999998,
0.0,1.1210502001546003,1.6420000000000001,
0.0,1.1494853415226114,1.5054999999999998,
0.0,1.1657402479831698,1.4074999999999998,
0.0,1.085977890211336,1.3980000000000001,
0.0,1.0558188132988056,1.295,
0.0,0.9890532668586739,1.2465,
0.0,0.9696395844763412,1.1435,
0.0,0.9536194168007535,1.0655000000000001,
0.0,0.8561202807941151,1.0705,
0.0,0.8228281819903899,0.9775,
0.0,0.8190278916265732,0.8895,
0.0,0.7891875512389684,0.8505,
0.0,0.8070585516519714,0.7625,
0.0,0.8294492356718808,0.6990000000000001,
0.0,0.676228111640792,0.8015,
0.0,0.6853221294969929,0.6645,
0.0,0.7011311526805866,0.5965,
0.0,0.7471907266531791,0.523,
0.0,0.6706281458235785,0.5815,
0.0,0.5991449971688755,0.5720000000000001,
0.0,0.6400772187712545,0.45449999999999996,
0.0,0.631123414340248,0.44499999999999995,
0.0,0.5628181238991047,0.474,
0.0,0.5256057086948271,0.43999999999999995,
0.0,0.5847459007471589,0.3325,
0.0,0.5722384861889366,0.34700000000000003,
0.0,0.5114154081971191,0.37650000000000006,
0.0,0.5527490142487756,0.2835,
0.0,0.5428876060805675,0.2885,
0.0,0.46399396971200946,0.337,
0.0,0.53595872061416,0.21000000000000002,
0.0,0.5858072804601756,0.18100000000000002,
0.0,0.4697230881458524,0.303,
0.0,0.4801395882090309,0.21999999999999997,
0.0,0.49079162786198144,0.1905,
0.0,0.5754140856407823,0.10749999999999998,
0.0,0.3741271564953868,0.3225,
0.0,0.4799705269763194,0.11249999999999999,
0.0,0.5835747497841114,0.049,
0.0,0.5102186182225931,0.171,
0.0,0.3903464420642312,0.2395,
5.0,5.0,0.083,
5.0,5.0,1.8179999999999998,
5.0,3.1798781999999997,3.91,
5.0,2.547321178,3.646,
5.0,2.4308317645999997,3.3234999999999997,
5.0,2.595625974718199,3.1185,
5.0,2.9427418857705168,2.9815000000000005,
5.0,3.2233631669296585,3.05,
5.0,3.4362760629710336,3.167,
5.0,3.5820645513600975,3.2990000000000004,
5.0,3.675871353518189,3.426,
