yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.005,
0.0,0.020645,0.0,
0.0,0.023315245,0.0,
0.0,0.024558342845,0.0,
0.0,0.025109642418445002,0.0,
0.0,0.02532570082758205,0.0,
0.0,0.025379405637540084,0.0,
0.0,0.025354586249474738,0.0,
0.0,0.02529188931254023,0.0,
0.0,0.025211022913375784,0.0,
0.0,0.02512154239675261,0.0,
0.0,0.025028080222430114,0.0,
0.0,0.02493288183178749,0.0,
0.0,0.024837035245443527,0.0,
0.0,0.02474106727374851,0.0,
0.0,0.024645232608872317,0.0,
0.0,0.024549654000519377,0.0,
0.0,0.02445439022468387,0.0,
0.0,0.02435946904050596,0.0,
0.0,0.02426490317046702,0.0,
0.0,0.024170698048897283,0.0,
0.0,0.02407685557908131,0.0,
0.0,0.023983375955002034,0.0,
0.0,0.023890258544661744,0.0,
0.0,0.02379750231837806,0.0,
0.0,0.023705106056446292,0.0,
0.0,0.023613068449820356,0.0,
0.0,0.023521388148920387,0.0,
0.0,0.02343006378728786,0.0,
0.0,0.023339093993044777,0.0,
0.0,0.023248477394439283,0.0,
0.0,0.023158212622523957,0.0,
0.0,0.023068298312443808,0.0,
0.0,0.022978733104050207,0.0,
0.0,0.022889515642188003,0.0,
4.0,5.0,0.0,
4.0,0.0,1.4565000000000001,
4.0,0.0,2.3899999999999997,
4.0,3.5905975000000008,1.6815,
4.0,1.8961813975000013,2.649,
4.0,2.606878557197504,2.6734999999999998,
4.0,2.856587028217002,2.786,
4.0,2.9394410456629876,2.918,
4.0,2.895532153998073,3.0695,
4.0,3.169315595015924,3.089,
4.0,3.1389468658375153,3.2015,
4.0,3.3838168759126686,3.2065,
4.0,3.3431899570271417,3.3040000000000003,
4.0,3.4499697752913807,3.343,
4.0,3.563915987962425,3.3725,
4.0,3.567012676706614,3.436,
4.0,3.611708352016646,3.4799999999999995,
4.0,3.779995946487358,3.4749999999999996,
4.0,3.7988968627237374,3.519,
4.0,3.851263711540462,3.5484999999999998,
4.0,3.89574037209586,3.5775,
4.0,3.9158306183999256,3.612,
4.0,4.024444546127992,3.612,
4.0,4.001292184128394,3.6559999999999997,
4.0,4.124449008914331,3.646,
4.0,4.10275185726811,3.685,
4.0,4.17256962930845,3.69,
4.0,4.1671879739453175,3.7195,
4.0,4.199107758457035,3.734,
4.0,4.306950298859281,3.7195,
4.0,4.3293898452758475,3.734,
4.0,4.308180866504498,3.7635,
4.0,4.407617068024927,3.749,
4.0,4.3664395192232455,3.7830000000000004,
4.0,4.418867884113586,3.7830000000000004,
4.0,4.467035048587393,3.7830000000000004,
4.0,4.347902218931068,3.8415,
4.0,4.540778757769201,3.7880000000000003,
4.0,4.372047568512482,3.8609999999999998,
4.0,4.489963308964462,3.832,
4.0,4.47942318498484,3.8465,
4.0,4.563886958732713,3.827,
4.0,4.39912368753547,3.8955,
4.0,4.618839280172132,3.827,
4.0,4.352162732855295,3.9295,
4.0,4.538922135035555,3.871,
4.0,4.539826082018549,3.876,
4.0,4.460565036247298,3.91,
4.0,4.626899321067292,3.8565,
4.0,4.366011481993215,3.9539999999999997,
0.0,0.0,3.8465,
0.0,5.0,3.123,
0.0,3.6358854999999988,3.9245,
0.0,4.043280425499996,3.7535000000000003,
0.0,3.614923113665494,3.69,
0.0,3.0182786858220965,3.6020000000000003,
0.0,2.579946369802091,3.4215,
0.0,2.2916704684248232,3.1769999999999996,
0.0,1.8258418671227528,3.001,
0.0,1.7588659689596073,2.698,
0.0,1.5101948782088892,2.4779999999999998,
0.0,1.2986683516198747,2.268,
0.0,1.3313577025741394,1.994,
0.0,1.0549664436799007,1.8525,
0.0,1.0927265327466222,1.6225,
0.0,1.0616007027003556,1.4369999999999998,
0.0,0.8546532253826077,1.3345000000000002,
0.0,0.81018728738737,1.1925,
0.0,1.0278608647608949,0.9725,
0.0,0.43520748090278527,1.0555,
0.0,1.1759464815375122,0.6795,
0.0,0.07318852588101013,0.9675,
0.0,1.3346935562471578,0.42999999999999994,
0.0,0.0,0.9825,
0.0,1.1179210123326224,0.5915,
0.0,0.2986230192646136,0.8405,
0.0,1.2025878425742353,0.46449999999999997,
0.0,0.0,0.8895,
0.0,1.0242910720366445,0.4935,
0.0,0.1514785776862701,0.748,
0.0,1.1078411857596668,0.35200000000000004,
0.0,0.0,0.782,
0.0,1.148057207278081,0.36650000000000005,
0.0,0.13304022397883752,0.6890000000000001,
0.0,0.7822874405973451,0.4155,
0.0,0.38810027134288944,0.5035,
0.0,0.8440266680503017,0.2935,
0.0,0.0,0.5720000000000001,
0.0,1.1412101193317041,0.137,
0.0,0.0,0.7084999999999999,
0.0,1.4441110123627863,0.259,
0.0,0.0,1.0115,
0.0,1.6547108810287736,0.513,
0.0,0.0,1.2025,
0.0,0.9932411444631019,0.8599999999999999,
0.0,0.8340051349498534,0.865,
0.0,0.8297716320850544,0.7965,
0.0,0.5129228069371863,0.831,
0.0,1.073832478776891,0.5525,
0.0,0.09958168531791468,0.8210000000000001,
5.0,5.0,0.45949999999999996,
5.0,0.0,2.033,
5.0,0.0,2.5119999999999996,
5.0,3.2790455,1.7255,
5.0,1.8887773855000012,2.5415,
5.0,2.6881098314255034,2.566,
5.0,2.977016183144671,2.737,
