yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,0.0,1.6225,
4.0,0.0,2.4635000000000002,
4.0,5.0,1.7645,
4.0,0.0,2.9959999999999996,
4.0,1.9657199999999975,2.918,
4.0,5.0,2.6345,
4.0,0.0,3.8074999999999997,
4.0,5.0,3.338,
4.0,0.0,4.008,
4.0,5.0,3.3335,
4.0,0.0,3.9639999999999995,
4.0,5.0,3.4455,
4.0,0.0,4.0175,
4.0,5.0,3.3674999999999997,
4.0,0.0,3.9639999999999995,
4.0,5.0,3.27,
4.0,0.0,4.0125,
4.0,5.0,3.387,
4.0,0.0,3.9684999999999997,
4.0,5.0,3.3285,
4.0,0.0,4.003,
4.0,5.0,3.3775,
4.0,0.0,3.9734999999999996,
4.0,5.0,3.3335,
4.0,0.0,4.0175,
4.0,5.0,3.387,
4.0,0.0,3.9345000000000003,
4.0,5.0,3.343,
4.0,0.0,3.993,
4.0,5.0,3.436,
4.0,0.0,4.052,
4.0,5.0,3.3529999999999998,
4.0,0.0,3.9835,
4.0,5.0,3.426,
4.0,0.0,4.047,
4.0,5.0,3.3674999999999997,
4.0,0.0,3.9734999999999996,
4.0,5.0,3.4410000000000003,
4.0,0.0,4.003,
4.0,5.0,3.3674999999999997,
4.0,0.0,3.9884999999999997,
4.0,5.0,3.2990000000000004,
4.0,0.0,4.003,
4.0,5.0,3.3674999999999997,
4.0,0.0,3.9785,
4.0,5.0,3.3139999999999996,
4.0,0.0,4.0225,
4.0,5.0,3.387,
4.0,0.0,3.9684999999999997,
0.0,0.0,3.3234999999999997,
0.0,5.0,2.4925,
0.0,0.0,3.6755,
0.0,2.2737099999999977,3.123,
0.0,1.1297684010000015,2.864,
0.0,2.492422478733101,2.439,
0.0,0.0,2.5364999999999998,
0.0,2.67328,2.0575,
0.0,0.0,2.4145,
0.0,3.579089999999998,1.867,
0.0,0.0,2.7225,
0.0,2.749250000000001,2.219,
0.0,0.0,2.5415,
0.0,3.7187800000000015,1.9694999999999998,
0.0,0.0,2.8739999999999997,
0.0,2.805979999999999,2.351,
0.0,0.0,2.5805,
0.0,3.173809999999997,2.053,
0.0,0.0,2.6590000000000003,
0.0,3.648380000000002,2.082,
0.0,0.0,2.879,
0.0,2.41638,2.3899999999999997,
0.0,0.0,2.439,
0.0,4.547029999999999,1.8035,
0.0,0.0,3.1424999999999996,
0.0,0.0,2.8545,
0.0,5.0,1.965,
0.0,0.0,3.426,
0.0,0.051520000000002675,3.0940000000000003,
0.0,5.0,2.136,
0.0,0.0,3.651,
0.0,1.8538199999999971,3.1380000000000003,
0.0,2.7039926420000016,2.7125,
0.0,0.0,2.8005000000000004,
0.0,4.207460000000003,2.1605,
0.0,0.0,3.2015,
0.0,1.8477299999999985,2.732,
0.0,1.8105016629999982,2.424,
0.0,0.0,2.3165,
0.0,4.509829999999997,1.696,
0.0,0.0,3.2745,
0.0,2.921490000000002,2.703,
0.0,0.0,2.82,
0.0,3.2484999999999964,2.263,
0.0,0.0,2.6784999999999997,
0.0,3.073619999999999,2.1505,
0.0,0.0,2.6295,
0.0,2.793190000000001,2.1310000000000002,
0.0,0.0,2.5075,
0.0,3.9758499999999986,1.916,
5.0,5.0,3.04,
5.0,0.0,3.9589999999999996,
5.0,5.0,3.2895000000000003,
5.0,0.0,3.9979999999999998,
5.0,5.0,3.3970000000000002,
5.0,0.0,3.9639999999999995,
5.0,5.0,3.3139999999999996,
5.0,0.0,4.008,
5.0,5.0,3.3970000000000002,
5.0,0.0,3.9589999999999996,
5.0,5.0,3.3579999999999997,
5.0,0.0,3.9979999999999998,
5.0,5.0,3.4215,
5.0,0.0,4.052,
5.0,5.0,3.3725,
5.0,0.0,3.9884999999999997,
5.0,5.0,3.431,
5.0,0.0,4.042,
5.0,5.0,3.3725,
5.0,0.0,3.9684999999999997,
5.0,5.0,3.4655000000000005,
5.0,0.0,4.042,
5.0,5.0,3.387,
5.0,0.0,3.9639999999999995,
5.0,5.0,3.2990000000000004,
5.0,0.0,4.0325,
5.0,5.0,3.4165,
5.0,0.0,3.9734999999999996,
5.0,5.0,3.309,
5.0,0.0,4.0175,
5.0,5.0,3.4065000000000003,
5.0,0.0,3.9539999999999997,
5.0,5.0,3.3335,
5.0,0.0,3.9979999999999998,
5.0,5.0,3.4410000000000003,
