yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,0.0,1.955,
4.0,0.0,2.4095,
4.0,3.652393999999999,1.7399999999999998,
4.0,0.0,2.7075,
4.0,2.6499249999999996,2.2285,
4.0,1.2652138875000005,2.5119999999999996,
4.0,2.589976486331248,2.2725,
4.0,1.5857152132477457,2.4779999999999998,
4.0,2.293195351947977,2.356,
4.0,1.8906758886642212,2.444,
4.0,2.0346817603109404,2.4290000000000003,
4.0,2.061632701301656,2.434,
4.0,2.227376918145343,2.4095,
4.0,1.8470066766193058,2.4925,
4.0,2.1746561183751445,2.439,
4.0,2.1770411236126836,2.444,
4.0,1.8697881055200736,2.5119999999999996,
4.0,2.3798956907951405,2.4195,
4.0,1.7822612238041102,2.5415,
4.0,2.4923758198311576,2.4095,
4.0,1.6616882523879184,2.576,
4.0,2.336247664384432,2.4535,
4.0,2.0235044095795005,2.517,
4.0,2.0801829606611486,2.5119999999999996,
4.0,2.1999729613963552,2.4925,
4.0,2.016907247015033,2.532,
4.0,2.1664164483631505,2.5075,
4.0,2.13179944129759,2.517,
4.0,2.1224132298519205,2.522,
4.0,2.1866747329203906,2.5119999999999996,
4.0,1.9301707877525078,2.566,
4.0,2.3249457178937347,2.4925,
4.0,2.051166821607578,2.5465,
4.0,2.025534880382775,2.556,
4.0,2.3097746018421064,2.5024999999999995,
4.0,2.060470327450131,2.5515,
4.0,2.0566237805492844,2.556,
4.0,2.191680911332223,2.532,
4.0,2.193683486886065,2.532,
4.0,2.004658654214622,2.5709999999999997,
4.0,2.291082257521605,2.517,
4.0,2.161094719704429,2.5415,
4.0,2.021429206631276,2.5709999999999997,
4.0,2.305194677380219,2.517,
4.0,1.9822603210154521,2.5805,
4.0,2.172173060134503,2.5465,
4.0,2.127361630103183,2.556,
4.0,2.3245568117318287,2.517,
4.0,1.758943557072331,2.6295,
0.0,0.0,2.4485,
0.0,2.5004020000000016,1.8179999999999998,
0.0,0.0,2.2045,
0.0,2.128154000000002,1.662,
0.0,0.0,2.0185,
0.0,2.1724220000000005,1.476,
0.0,0.0,1.867,
0.0,2.113124000000002,1.3439999999999999,
0.0,0.0,1.8915000000000002,
0.0,2.156193000000002,1.3585,
0.0,0.0,1.906,
0.0,2.3410069999999994,1.3345000000000002,
0.0,0.0,1.9500000000000002,
0.0,1.7584050000000018,1.4954999999999998,
0.0,0.0,1.7349999999999999,
0.0,2.7655700000000003,1.085,
0.0,0.0,2.1065,
0.0,1.4815480000000003,1.701,
0.0,1.3455546420000015,1.5979999999999999,
0.0,0.5832552312430015,1.6325,
0.0,1.8235542770909876,1.2805,
0.0,0.0,1.5979999999999999,
0.0,2.0793459999999997,1.095,
0.0,0.0,1.7545,
0.0,2.0665489999999997,1.2465,
0.0,0.0,1.73,
0.0,1.977025,1.2415,
0.0,0.0,1.662,
0.0,1.5408840000000001,1.266,
0.0,0.543020886000001,1.3585,
0.0,1.541949075569002,1.0705,
0.0,0.0,1.427,
0.0,1.7386240000000002,1.002,
0.0,0.0,1.4615,
0.0,2.3783380000000003,0.9039999999999999,
0.0,0.0,1.8179999999999998,
0.0,2.075886,1.3050000000000002,
0.0,0.0,1.862,
0.0,2.136319,1.3345000000000002,
0.0,0.0,1.823,
0.0,1.4781160000000015,1.432,
0.0,0.9739236140000019,1.4175,
0.0,0.7462517211810015,1.3635,
0.0,1.6653228233738133,1.085,
0.0,0.0,1.4615,
0.0,2.1631780000000007,0.948,
0.0,0.0,1.691,
0.0,1.7711470000000007,1.2465,
0.0,0.0,1.608,
0.0,2.389926,1.041,
5.0,5.0,1.872,
5.0,0.0,3.431,
5.0,2.070251999999999,3.084,
5.0,3.824050057999999,2.7515,
5.0,1.6259311238069996,3.1864999999999997,
5.0,2.9220890406835887,2.9570000000000003,
5.0,2.800916927735239,2.9865000000000004,
5.0,2.6210245946892052,3.0305,
5.0,2.769688196430966,3.0109999999999997,
5.0,2.7820696172966572,3.0155,
5.0,2.6936175829551368,3.04,
5.0,2.948319196056748,2.9959999999999996,
5.0,2.5740976034817518,3.0745,
5.0,2.793077133329893,3.04,
5.0,2.958664407697105,3.0109999999999997,
5.0,2.437423099077112,3.1185,
5.0,3.1223635378733903,2.9909999999999997,
5.0,2.5310359171204553,3.1085000000000003,
5.0,3.034813724256864,3.0155,
