yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,0.0,1.9745,
4.0,0.0,2.439,
4.0,5.0,1.7105000000000001,
4.0,0.0,3.0305,
4.0,5.0,2.9275,
4.0,0.0,3.9345000000000003,
4.0,5.0,3.3335,
4.0,0.0,3.949,
4.0,5.0,3.2990000000000004,
4.0,0.0,3.9979999999999998,
4.0,5.0,3.402,
4.0,0.0,4.047,
4.0,5.0,3.3335,
4.0,0.0,4.003,
4.0,5.0,3.431,
4.0,0.0,3.949,
4.0,5.0,3.3725,
4.0,0.0,3.9884999999999997,
4.0,5.0,3.4455,
4.0,0.0,4.037,
4.0,5.0,3.387,
4.0,0.0,3.9884999999999997,
4.0,5.0,3.4410000000000003,
4.0,0.0,4.042,
4.0,5.0,3.3725,
4.0,0.0,3.9884999999999997,
4.0,5.0,3.309,
4.0,0.0,4.0225,
4.0,5.0,3.387,
4.0,0.0,3.9684999999999997,
4.0,5.0,3.5044999999999997,
4.0,0.0,4.008,
4.0,5.0,3.4165,
4.0,0.0,3.9639999999999995,
4.0,5.0,3.348,
4.0,0.0,4.0175,
4.0,5.0,3.4065000000000003,
4.0,0.0,4.047,
4.0,5.0,3.338,
4.0,0.0,4.003,
4.0,5.0,3.4505000000000003,
4.0,0.0,4.052,
4.0,5.0,3.3625,
4.0,0.0,4.008,
4.0,5.0,3.4455,
4.0,0.0,4.042,
4.0,5.0,3.3674999999999997,
4.0,0.0,3.9979999999999998,
4.0,5.0,3.4655000000000005,
0.0,0.0,4.0225,
0.0,2.8854199999999963,3.392,
0.0,0.0,3.1574999999999998,
0.0,4.3200599999999945,2.5709999999999997,
0.0,0.0,3.431,
0.0,4.216240000000004,2.8149999999999995,
0.0,0.0,3.343,
0.0,3.9128599999999913,2.7515,
0.0,0.0,3.2305,
0.0,3.229280000000001,2.6834999999999996,
0.0,0.0,2.8739999999999997,
0.0,4.676279999999995,2.307,
0.0,0.0,3.5875000000000004,
0.0,1.8033199999999994,3.0595,
0.0,0.30696853999999857,2.703,
0.0,5.0,2.0235,
0.0,0.0,3.4995,
0.0,0.0,3.1864999999999997,
0.0,5.0,2.3899999999999997,
0.0,0.0,3.69,
0.0,0.8543400000000023,3.1915,
0.0,5.0,2.517,
0.0,0.0,3.8369999999999997,
0.0,2.7540599999999937,3.2355,
0.0,0.0,3.035,
0.0,3.6756999999999973,2.4925,
0.0,0.0,3.04,
0.0,5.0,2.4195,
0.0,0.0,3.69,
0.0,0.0,3.3139999999999996,
0.0,5.0,2.351,
0.0,0.0,3.69,
0.0,0.0,3.2845000000000004,
0.0,5.0,2.2875,
0.0,0.0,3.7195,
0.0,0.8839400000000008,3.216,
0.0,5.0,2.522,
0.0,0.0,3.8369999999999997,
0.0,2.7540599999999937,3.2355,
0.0,0.0,3.079,
0.0,4.753040000000004,2.483,
0.0,0.0,3.6609999999999996,
0.0,2.4726799999999916,3.0940000000000003,
0.0,0.0,2.8834999999999997,
0.0,5.0,2.165,
0.0,0.0,3.651,
0.0,0.08837999999999901,3.1915,
0.0,5.0,2.4,
0.0,0.0,3.744,
0.0,1.6905000000000037,3.2015,
5.0,5.0,2.7275,
5.0,0.0,3.8024999999999998,
5.0,5.0,3.2745,
5.0,0.0,3.993,
5.0,5.0,3.4065000000000003,
5.0,0.0,3.949,
5.0,5.0,3.3529999999999998,
5.0,0.0,3.9979999999999998,
5.0,5.0,3.431,
5.0,0.0,4.0275,
5.0,5.0,3.3625,
5.0,0.0,3.9979999999999998,
5.0,5.0,3.4555000000000002,
5.0,0.0,4.0275,
5.0,5.0,3.3579999999999997,
5.0,0.0,3.9734999999999996,
5.0,5.0,3.4699999999999998,
5.0,0.0,4.0275,
5.0,5.0,3.392,
5.0,0.0,3.9684999999999997,
5.0,5.0,3.3139999999999996,
5.0,0.0,4.0275,
5.0,5.0,3.402,
5.0,0.0,3.993,
5.0,5.0,3.343,
5.0,0.0,4.003,
5.0,5.0,3.4065000000000003,
5.0,0.0,3.9639999999999995,
5.0,5.0,3.3234999999999997,
5.0,0.0,4.0175,
5.0,5.0,3.431,
5.0,0.0,4.052,
5.0,5.0,3.3529999999999998,
5.0,0.0,4.0175,
5.0,5.0,3.431,
5.0,0.0,4.052,
5.0,5.0,3.3579999999999997,
5.0,0.0,3.993,
