yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,2.2813645000000027,1.0605,
4.0,0.0,2.488,
4.0,5.0,1.8915000000000002,
4.0,0.6853745,2.7665,
4.0,1.9584719358499991,2.8055000000000003,
4.0,4.924440118898307,2.4779999999999998,
4.0,0.0,3.3234999999999997,
4.0,3.3531814999999994,2.9375,
4.0,3.8310558989500008,2.8935,
4.0,2.651426523836535,3.0985,
4.0,3.7436876218305812,2.962,
4.0,3.1300752422503915,3.0645,
4.0,3.3035528936496616,3.0545,
4.0,3.508795960738842,3.0305,
4.0,3.190644603113742,3.084,
4.0,3.4595018890585205,3.05,
4.0,3.4340879896690057,3.0545,
4.0,3.25846928416731,3.084,
4.0,3.349721019138139,3.0745,
4.0,3.3016506908460386,3.084,
4.0,3.468037361787416,3.0595,
4.0,3.302470940366348,3.084,
4.0,3.376267218323018,3.0745,
4.0,3.3176660128142768,3.084,
4.0,3.536133905530854,3.05,
4.0,3.0866560852067626,3.1185,
4.0,3.5006191162052414,3.0595,
4.0,3.260617512806622,3.0940000000000003,
4.0,3.3703775454762352,3.079,
4.0,3.4244702731858134,3.0695,
4.0,3.3539819158130006,3.079,
4.0,3.2946342898099834,3.089,
4.0,3.4258143670423635,3.0695,
4.0,3.2348483076366574,3.0985,
4.0,3.526698483997197,3.0545,
4.0,3.2835861953955083,3.089,
4.0,3.388394051682111,3.0745,
4.0,3.2357926313798173,3.0985,
4.0,3.4657581945114453,3.0645,
4.0,3.293860918748754,3.089,
4.0,3.486857792281124,3.0595,
4.0,3.283070306083201,3.089,
4.0,3.2681383156599955,3.0940000000000003,
4.0,3.5840488458376765,3.045,
4.0,3.2150631686938693,3.0985,
4.0,3.422497109673013,3.0695,
4.0,3.260526506265728,3.0940000000000003,
4.0,3.5210221412301146,3.0545,
4.0,3.2801616578041273,3.089,
0.0,0.0,3.0940000000000003,
0.0,0.0,2.434,
0.0,0.4761520000000008,1.784,
0.0,0.7136535015999999,1.295,
0.0,0.35892515751527976,1.002,
0.0,1.4115755475289675,0.5720000000000001,
0.0,0.0,0.953,
0.0,0.6354614999999997,0.6255,
0.0,0.5300964229499998,0.45449999999999996,
0.0,0.6247771719657348,0.298,
0.0,0.0,0.35200000000000004,
0.0,1.655808,0.0,
0.0,0.0,0.8505,
0.0,0.6638344999999995,0.5425,
0.0,0.09527185384999949,0.46449999999999997,
0.0,1.2798540094277044,0.1565,
0.0,0.0,0.6745,
0.0,1.1891504999999998,0.3225,
0.0,0.0,0.7235,
0.0,1.539591,0.303,
0.0,0.0,1.002,
0.0,1.0443364999999993,0.5965,
0.0,0.0,0.7575,
0.0,1.7887165,0.2885,
0.0,0.0,1.139,
0.0,0.8184179999999996,0.738,
0.0,0.0,0.6990000000000001,
0.0,1.904121,0.22499999999999998,
0.0,0.0,1.2025,
0.0,0.8157229999999993,0.787,
0.0,0.0,0.7184999999999999,
0.0,1.7867149999999998,0.259,
0.0,0.0,1.041,
0.0,0.26823649999999977,0.7525,
0.0,1.3857355804499993,0.37650000000000006,
0.0,0.0,0.8699999999999999,
0.0,1.1461509999999997,0.479,
0.0,0.0,0.7184999999999999,
0.0,1.4853159999999996,0.308,
0.0,0.0,0.958,
0.0,1.1695144999999996,0.5425,
0.0,0.0,0.7965,
0.0,1.7322835,0.3275,
0.0,0.0,1.085,
0.0,0.6843464999999999,0.7184999999999999,
0.0,0.18512874344999952,0.5865,
0.0,1.548119170923385,0.21499999999999997,
0.0,0.0,0.8945000000000001,
0.0,0.6616765000000002,0.5765,
0.0,0.22622643245000024,0.469,
5.0,5.0,0.166,
5.0,2.344076500000001,1.4124999999999999,
5.0,0.0,2.5465,
5.0,5.0,1.911,
5.0,1.4429255000000007,2.8935,
5.0,3.8294329541499996,2.908,
5.0,4.796132901238695,2.9959999999999996,
5.0,2.216488479317304,3.5775,
5.0,5.0,3.2355,
5.0,3.1339355000000024,3.6315,
5.0,5.0,3.436,
5.0,3.597309500000001,3.7095000000000002,
5.0,5.0,3.4894999999999996,
5.0,3.876653,3.705,
5.0,5.0,3.4995,
5.0,3.6838039999999994,3.744,
5.0,5.0,3.5385,
5.0,4.0794695,3.7095000000000002,
5.0,5.0,3.5435,
5.0,3.7708354999999982,3.7635,
5.0,5.0,3.524,
5.0,4.0112615,3.7095000000000002,
