yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,5.0,2.009,
4.0,5.0,3.7830000000000004,
4.0,0.0,4.1739999999999995,
4.0,5.0,3.514,
4.0,5.0,4.052,
4.0,0.0,4.1985,
4.0,5.0,3.4894999999999996,
4.0,5.0,3.9835,
4.0,0.0,4.2035,
4.0,5.0,3.4799999999999995,
4.0,5.0,3.993,
4.0,0.0,4.1885,
4.0,5.0,3.436,
4.0,5.0,4.003,
4.0,0.0,4.1885,
4.0,5.0,3.5925000000000002,
4.0,5.0,4.0225,
4.0,0.0,4.1885,
4.0,5.0,3.5484999999999998,
4.0,5.0,4.0565,
4.0,0.0,4.1935,
4.0,5.0,3.5095,
4.0,5.0,4.003,
4.0,0.0,4.1985,
4.0,5.0,3.4799999999999995,
4.0,5.0,4.0125,
4.0,0.0,4.208,
4.0,5.0,3.4410000000000003,
4.0,5.0,4.037,
4.0,0.0,4.208,
4.0,5.0,3.607,
4.0,5.0,4.042,
4.0,0.0,4.1935,
4.0,5.0,3.558,
4.0,5.0,4.037,
4.0,0.0,4.1985,
4.0,5.0,3.529,
4.0,5.0,3.9979999999999998,
4.0,0.0,4.208,
4.0,5.0,3.4995,
4.0,5.0,4.0125,
4.0,0.0,4.1985,
4.0,5.0,3.4655000000000005,
4.0,5.0,4.0275,
4.0,0.0,4.1885,
4.0,5.0,3.4065000000000003,
4.0,5.0,4.0225,
4.0,0.0,4.1985,
4.0,5.0,3.563,
0.0,0.0,4.047,
0.0,0.0,3.3625,
0.0,0.0,2.5515,
0.0,0.0,1.8425,
0.0,0.0,0.9825,
0.0,0.0,0.381,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
5.0,5.0,0.0,
5.0,5.0,1.823,
5.0,5.0,3.9050000000000002,
5.0,5.0,4.1885,
5.0,5.0,4.2325,
5.0,5.0,4.218,
5.0,5.0,4.223,
5.0,5.0,4.2425,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.228,
5.0,5.0,4.223,
5.0,5.0,4.223,
5.0,5.0,4.2325,
5.0,5.0,4.2425,
5.0,5.0,4.2425,
5.0,5.0,4.2375,
5.0,5.0,4.2425,
5.0,5.0,4.228,
5.0,5.0,4.228,
5.0,5.0,4.2425,
5.0,5.0,4.2425,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2325,
5.0,5.0,4.228,
5.0,5.0,4.228,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2425,
5.0,5.0,4.2375,
5.0,5.0,4.2375,
5.0,5.0,4.2425,
5.0,5.0,4.2325,
5.0,5.0,4.228,
5.0,5.0,4.228,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2375,
5.0,5.0,4.2375,
5.0,5.0,4.2375,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.223,
5.0,5.0,4.2375,
5.0,5.0,4.223,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.2325,
5.0,5.0,4.218,
1.0,0.0,4.2375,
1.0,0.0,3.4799999999999995,
1.0,0.0,2.644,
1.0,0.0,1.916,
