yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,4.472,0.0,
4.0,4.809229200000001,1.5690000000000002,
4.0,3.2897426743200002,3.793,
4.0,3.095836889473873,3.6654999999999998,
4.0,3.109748505744372,3.4555000000000002,
4.0,3.1565663730091407,3.343,
4.0,3.1641204223736126,3.3285,
4.0,3.2190854129604896,3.2795,
4.0,3.184489093916035,3.3335,
4.0,3.211264479660643,3.3040000000000003,
4.0,3.2051740243179867,3.3185,
4.0,3.2112728211821517,3.3139999999999996,
4.0,3.2313081529822667,3.2990000000000004,
4.0,3.214550347538646,3.3234999999999997,
4.0,3.194616827006528,3.338,
4.0,3.2218663403597785,3.3040000000000003,
4.0,3.219265374471467,3.3139999999999996,
4.0,3.2051575890233157,3.3285,
4.0,3.2211747755793256,3.309,
4.0,3.2046263632100924,3.3285,
4.0,3.1882987899993456,3.338,
4.0,3.2164669459334405,3.3040000000000003,
4.0,3.2146510519947187,3.3139999999999996,
4.0,3.1794131890346873,3.348,
4.0,3.207609311349044,3.309,
4.0,3.209244317478894,3.3139999999999996,
4.0,3.1965935937174628,3.3285,
4.0,3.2194459851909443,3.3040000000000003,
4.0,3.239556938944181,3.2940000000000005,
4.0,3.2250267600216977,3.3185,
4.0,3.2282389691145434,3.3139999999999996,
4.0,3.2240064230052887,3.3185,
4.0,3.2055659891003203,3.3335,
4.0,3.223686794285134,3.309,
4.0,3.2067731343960757,3.3285,
4.0,3.1901334206548873,3.338,
4.0,3.2124448212916668,3.309,
4.0,3.2245567442758585,3.3040000000000003,
4.0,3.1891425936581492,3.343,
4.0,3.191960060540255,3.3285,
4.0,3.2266661677377018,3.2940000000000005,
4.0,3.2190413069486414,3.3139999999999996,
4.0,3.2105561009183092,3.3234999999999997,
4.0,3.223625343844787,3.309,
4.0,3.1960996188497552,3.338,
4.0,3.2119535342690018,3.3139999999999996,
4.0,3.2100888903862894,3.3185,
4.0,3.1936720657241233,3.3335,
4.0,3.2135222473678358,3.309,
4.0,3.209266512600553,3.3185,
0.0,0.0,3.338,
0.0,0.0,2.644,
0.0,0.0,1.916,
0.0,0.0,1.08,
0.0,0.0,0.479,
0.0,0.2072154,0.0,
0.0,0.17708628084000003,0.0,
0.0,0.151337935605864,0.0,
0.0,0.1293333997687714,0.0,
0.0,0.11052832344239204,0.0,
0.0,0.09445750521386824,0.0,
0.0,0.0807233839557718,0.0,
0.0,0.06898620392860258,0.0,
0.0,0.058955609877383776,0.0,
0.0,0.050383464201212175,0.0,
0.0,0.04305770850635593,0.0,
0.0,0.036797117689531776,0.0,
0.0,0.03144681677747386,0.0,
0.0,0.02687444961802916,0.0,
0.0,0.022966904643567723,0.0,
0.0,0.019627516708392977,0.0,
0.0,0.01677367577899264,0.0,
0.0,0.014334783320727112,0.0,
0.0,0.012250505825893388,0.0,
0.0,0.01046928227880849,0.0,
0.0,0.008947048635469737,0.0,
0.0,0.007646147763872437,0.0,
0.0,0.006534397879005385,0.0,
0.0,0.005584296427398002,0.0,
0.0,0.004772339726854333,0.0,
0.0,0.0040784415305697135,0.0,
0.0,0.003485436132024877,0.0,
0.0,0.00297865371842846,0.0,
0.0,0.002545557467768962,0.0,
0.0,0.002175433411955355,0.0,
0.0,0.0018591253938570463,0.0,
0.0,0.0015888085615902317,0.0,
0.0,0.0013577957967350121,0.0,
0.0,0.0011603722878897416,0.0,
0.0,0.0009916541572305732,0.0,
0.0,0.0008474676427692477,0.0,
0.0,0.0007242458475105992,0.0,
0.0,0.0006189405012825581,0.0,
0.0,0.0005289465523960742,0.0,
0.0,0.00045203772367768497,0.0,
0.0,0.00038631143865494957,0.0,
0.0,0.00033014175547451996,0.0,
0.0,0.0002821391442285248,0.0,
0.0,0.00024111611265769729,0.0,
0.0,0.00020605782987726808,0.0,
5.0,5.0,0.0,
5.0,5.0,1.7890000000000001,
5.0,4.0751504,3.9345000000000003,
5.0,4.33869223184,3.822,
5.0,4.564439581330464,3.7780000000000005,
5.0,4.623733866205014,3.8805,
5.0,4.642165262058806,3.949,
5.0,4.654568832955456,3.9785,
5.0,4.672340624643733,3.9835,
5.0,4.667890397820535,4.003,
5.0,4.683702933977429,3.993,
5.0,4.665499327377112,4.0175,
5.0,4.649361225176481,4.0275,
5.0,4.65666560303582,4.0125,
5.0,4.672629924354412,3.9979999999999998,
