yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,5.0,2.0235,
4.0,5.0,3.8369999999999997,
4.0,0.0,4.1739999999999995,
4.0,4.792488000000005,3.5484999999999998,
4.0,4.230925358400003,3.9445,
4.0,3.2529802588291243,3.8514999999999997,
4.0,5.0,3.5875000000000004,
4.0,2.373940000000001,4.081,
4.0,4.903769492000007,3.6264999999999996,
4.0,2.3967948530056056,4.0615000000000006,
4.0,4.455548892516872,3.6704999999999997,
4.0,5.0,3.739,
4.0,1.119328000000006,4.12,
4.0,5.0,3.558,
4.0,2.767776000000002,4.0615000000000006,
4.0,4.370551756800005,3.685,
4.0,5.0,3.7095000000000002,
4.0,1.3875640000000002,4.1105,
4.0,4.126100255200005,3.6559999999999997,
4.0,5.0,3.558,
4.0,2.460056000000001,4.086,
4.0,3.6136746608000028,3.729,
4.0,5.0,3.524,
4.0,2.6316880000000022,4.086,
4.0,3.715127918400003,3.7245,
4.0,5.0,3.563,
4.0,2.309216000000001,4.096,
4.0,4.321264748800005,3.6654999999999998,
4.0,5.0,3.651,
4.0,1.4379520000000077,4.13,
4.0,5.0,3.529,
4.0,2.9141680000000028,4.0615000000000006,
4.0,3.548517182400002,3.7535000000000003,
4.0,5.0,3.5435,
4.0,2.3511320000000007,4.1005,
4.0,4.428842357600006,3.6559999999999997,
4.0,5.0,3.7195,
4.0,1.0921640000000064,4.13,
4.0,5.0,3.524,
4.0,3.4292480000000047,4.0225,
4.0,3.6918371264000034,3.7685000000000004,
4.0,5.0,3.6215,
4.0,1.9573879999999995,4.1005,
4.0,4.325760178400006,3.6559999999999997,
4.0,5.0,3.6414999999999997,
4.0,1.3603080000000076,4.14,
4.0,5.0,3.573,
4.0,2.999776000000003,4.037,
4.0,4.247245356800004,3.7095000000000002,
0.0,0.0,3.7195,
0.0,0.0,3.035,
0.0,0.0,2.2435,
0.0,0.0,1.3980000000000001,
0.0,0.0,0.782,
0.0,0.0,0.2345,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
5.0,5.0,0.0,
5.0,5.0,2.092,
5.0,5.0,3.8855,
5.0,5.0,4.179,
5.0,5.0,4.2325,
5.0,5.0,4.2425,
5.0,5.0,4.228,
5.0,5.0,4.228,
5.0,5.0,4.2425,
5.0,5.0,4.228,
5.0,5.0,4.2425,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.228,
5.0,5.0,4.2325,
5.0,5.0,4.2425,
5.0,5.0,4.2425,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.257000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2325,
5.0,5.0,4.228,
5.0,5.0,4.2425,
5.0,5.0,4.2425,
5.0,5.0,4.2325,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.252000000000001,
5.0,5.0,4.267,
5.0,5.0,4.2375,
5.0,5.0,4.2375,
5.0,5.0,4.2425,
5.0,5.0,4.2325,
5.0,5.0,4.2325,
5.0,5.0,4.252000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.2475000000000005,
