yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,4.0,0.0,
4.0,4.0,1.471,
4.0,4.0,3.2305,
4.0,4.0,3.4995,
4.0,4.0,3.5925000000000002,
4.0,4.0,3.646,
4.0,4.0,3.646,
4.0,4.0,3.6755,
4.0,4.0,3.6654999999999998,
4.0,4.0,3.6559999999999997,
4.0,4.0,3.646,
4.0,4.0,3.6609999999999996,
4.0,4.0,3.6609999999999996,
4.0,4.0,3.6559999999999997,
4.0,4.0,3.651,
4.0,4.0,3.6755,
4.0,4.0,3.6559999999999997,
4.0,4.0,3.6654999999999998,
4.0,4.0,3.685,
4.0,4.0,3.6609999999999996,
4.0,4.0,3.6609999999999996,
4.0,4.0,3.69,
4.0,4.0,3.6414999999999997,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.685,
4.0,4.0,3.651,
4.0,4.0,3.6755,
4.0,4.0,3.69,
4.0,4.0,3.6559999999999997,
4.0,4.0,3.651,
4.0,4.0,3.6805,
4.0,4.0,3.6559999999999997,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.69,
4.0,4.0,3.6805,
4.0,4.0,3.6654999999999998,
4.0,4.0,3.6755,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.6805,
4.0,4.0,3.6805,
4.0,4.0,3.6654999999999998,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.6704999999999997,
4.0,4.0,3.69,
4.0,4.0,3.6654999999999998,
4.0,4.0,3.6755,
4.0,4.0,3.6755,
4.0,4.0,3.651,
4.0,4.0,3.6704999999999997,
0.0,0.0,3.6704999999999997,
0.0,0.0,3.0109999999999997,
0.0,0.0,2.2239999999999998,
0.0,0.0,1.4905,
0.0,0.0,0.792,
0.0,0.0,0.2445,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
5.0,5.0,0.0,
5.0,5.0,1.6815,
5.0,5.0,3.876,
5.0,5.0,4.179,
5.0,5.0,4.2375,
5.0,5.0,4.2325,
5.0,5.0,4.2325,
5.0,5.0,4.2375,
5.0,5.0,4.2375,
5.0,5.0,4.2325,
5.0,5.0,4.257000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2375,
5.0,5.0,4.2425,
5.0,5.0,4.2375,
5.0,5.0,4.223,
5.0,5.0,4.2375,
5.0,5.0,4.228,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.252000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.252000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.267,
5.0,5.0,4.2375,
5.0,5.0,4.2425,
5.0,5.0,4.2375,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2325,
5.0,5.0,4.2325,
5.0,5.0,4.2425,
5.0,5.0,4.2325,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2425,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.2425,
5.0,5.0,4.2425,
5.0,5.0,4.257000000000001,
5.0,5.0,4.257000000000001,
