yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,5.0,1.8525,
4.0,5.0,3.9589999999999996,
4.0,0.0,4.218,
4.0,4.712073000000005,3.5484999999999998,
4.0,5.0,3.8805,
4.0,0.09724300000000491,4.184,
4.0,5.0,3.5095,
4.0,5.0,4.0225,
4.0,0.0,4.228,
4.0,5.0,3.4749999999999996,
4.0,5.0,4.0275,
4.0,0.0,4.223,
4.0,5.0,3.4505000000000003,
4.0,4.755538000000001,4.0715,
4.0,0.0,4.12,
4.0,5.0,3.4749999999999996,
4.0,5.0,3.9589999999999996,
4.0,0.0,4.223,
4.0,4.272713000000002,3.5775,
4.0,5.0,3.5925000000000002,
4.0,3.059355000000007,4.12,
4.0,3.2547221870000054,3.7830000000000004,
4.0,5.0,3.5975,
4.0,2.8842850000000064,4.13,
4.0,3.9335970290000075,3.7245,
4.0,5.0,3.6755,
4.0,2.7960930000000026,4.096,
4.0,4.014351824200003,3.734,
4.0,5.0,3.69,
4.0,2.357940000000008,4.12,
4.0,3.412978636000007,3.7535000000000003,
4.0,5.0,3.5335,
4.0,3.7550460000000014,4.1005,
4.0,2.0801615324000022,3.8955,
4.0,5.0,3.4749999999999996,
4.0,4.516690000000004,4.0760000000000005,
4.0,1.5147193860000077,3.9684999999999997,
4.0,5.0,3.4605,
4.0,5.0,3.9884999999999997,
4.0,0.0,4.228,
4.0,4.438438000000003,3.563,
4.0,5.0,3.6805,
4.0,2.2871830000000086,4.13,
4.0,4.26844357020001,3.685,
4.0,5.0,3.695,
4.0,2.3219700000000083,4.12,
4.0,4.415481018000011,3.6805,
4.0,5.0,3.7635,
4.0,1.4188360000000055,4.1495,
0.0,0.0,3.6704999999999997,
0.0,0.0,2.7565,
0.0,0.0,2.0235,
0.0,0.0,1.3785,
0.0,0.0,0.7235,
0.0,0.0,0.054000000000000006,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
5.0,5.0,0.0,
5.0,5.0,1.9209999999999998,
5.0,5.0,3.866,
5.0,5.0,4.223,
5.0,5.0,4.2375,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.252000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.252000000000001,
5.0,5.0,4.257000000000001,
5.0,5.0,4.252000000000001,
5.0,5.0,4.267,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.281499999999999,
5.0,5.0,4.2475000000000005,
5.0,5.0,4.5455000000000005,
5.0,5.0,4.2715,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.257000000000001,
5.0,5.0,4.2715,
5.0,5.0,4.2865,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.252000000000001,
5.0,5.0,4.2865,
5.0,5.0,4.2715,
5.0,5.0,4.2764999999999995,
5.0,5.0,4.2715,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.2715,
5.0,5.0,4.2715,
5.0,5.0,4.267,
5.0,5.0,4.2620000000000005,
5.0,5.0,4.281499999999999,
5.0,5.0,4.2715,
