yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,2.235342000000001,1.7105000000000001,
4.0,0.3164630806052007,2.9375,
4.0,4.596760714034272,2.3605,
4.0,0.0,3.4945,
4.0,2.6953500000000004,3.089,
4.0,2.686308362210001,2.918,
4.0,2.2503600276385645,2.9570000000000003,
4.0,2.5420476022353644,2.8985,
4.0,2.483727958550127,2.8885,
4.0,2.4476370998077615,2.8935,
4.0,2.4559318145521263,2.8935,
4.0,2.5704566258292765,2.864,
4.0,2.3118208619120564,2.918,
4.0,2.6868226616958575,2.8445,
4.0,2.2794543879567843,2.918,
4.0,2.6305109857442037,2.859,
4.0,2.398651935996613,2.8935,
4.0,2.58982649554636,2.859,
4.0,2.3229244324427807,2.9130000000000003,
4.0,2.6785104408573708,2.8445,
4.0,2.1668705644148645,2.947,
4.0,2.771856109517431,2.835,
4.0,2.1685969623903274,2.9425,
4.0,2.688670319031852,2.8545,
4.0,2.2960956824255137,2.918,
4.0,2.6868116446351085,2.8445,
4.0,2.337684380238232,2.903,
4.0,2.642470781676796,2.8495,
4.0,2.287743315029643,2.918,
4.0,2.5722867929665103,2.8739999999999997,
4.0,2.386692144127153,2.903,
4.0,2.605626116516177,2.859,
4.0,2.2841155016572317,2.923,
4.0,2.6757132513204622,2.8495,
4.0,2.250887604703875,2.9275,
4.0,2.646298971855857,2.859,
4.0,2.3423739970596826,2.908,
4.0,2.5945050672223413,2.864,
4.0,2.2749587102500963,2.9275,
4.0,2.7394838360724028,2.835,
4.0,2.151105282375552,2.947,
4.0,2.791255064360834,2.8299999999999996,
4.0,2.2185205532980907,2.9275,
4.0,2.721975295499642,2.8394999999999997,
4.0,2.309979015892027,2.908,
4.0,2.613892371298535,2.859,
4.0,2.3035312929953324,2.918,
4.0,2.5917078540238743,2.8689999999999998,
4.0,2.39585475052253,2.8985,
0.0,0.0,2.864,
0.0,0.0,2.1945,
0.0,0.0,1.5345,
0.0,0.0,0.8995,
0.0,0.435041,0.27349999999999997,
0.0,0.018683789724599963,0.11249999999999999,
0.0,0.18721308986308105,0.0,
0.0,0.00013116149075807456,0.0,
0.0,9.189174042510704e-08,0.0,
0.0,6.437935334182999e-11,0.0,
0.0,4.5104174951286095e-14,0.0,
0.0,3.159998497087104e-17,0.0,
0.0,2.213894947059225e-20,0.0,
0.0,1.551054799909693e-23,0.0,
0.0,1.086668992816731e-26,0.0,
0.0,7.613202963674017e-30,0.0,
0.0,5.333809996350016e-33,0.0,
0.0,3.7368672834428214e-36,0.0,
0.0,2.6180492187800405e-39,0.0,
0.0,1.8342052826772966e-42,0.0,
0.0,1.2850442210437138e-45,0.0,
0.0,9.00301981263226e-49,0.0,
0.0,6.307515680730161e-52,0.0,
0.0,4.419045485919551e-55,0.0,
0.0,3.0959832674352376e-58,0.0,
0.0,2.1690458771651276e-61,0.0,
0.0,1.5196335415418884e-64,0.0,
0.0,1.0646552592042471e-67,0.0,
0.0,7.458974745984955e-71,0.0,
0.0,5.22575770703706e-74,0.0,
0.0,3.661165849550164e-77,0.0,
0.0,2.5650127941948447e-80,0.0,
0.0,1.7970479636129084e-83,0.0,
0.0,1.2590118033072035e-86,0.0,
0.0,8.820636693970267e-90,0.0,
0.0,6.179738067795569e-93,0.0,
0.0,4.329524490297576e-96,0.0,
0.0,3.033264857902482e-99,0.0,
0.0,2.125105359446479e-102,0.0,
0.0,1.488848814828203e-105,0.0,
0.0,1.0430874796686392e-108,0.0,
0.0,7.307870882558486e-112,0.0,
0.0,5.119894340320475e-115,0.0,
0.0,3.5869979748285246e-118,0.0,
0.0,2.5130507811648644e-121,0.0,
0.0,1.760643377284104e-124,0.0,
0.0,1.233506750125243e-127,0.0,
0.0,8.641948291377453e-131,0.0,
0.0,6.054548972939045e-134,0.0,
0.0,4.2418170104410943e-137,0.0,
5.0,5.0,0.0,
5.0,4.131136000000001,1.7935,
5.0,0.8532452738816003,3.4065000000000003,
5.0,5.0,2.9130000000000003,
5.0,0.7621149999999997,3.91,
5.0,4.221342937769,3.4455,
5.0,3.031582472862202,3.5535,
5.0,3.629716926680487,3.4455,
5.0,3.335904979678834,3.4749999999999996,
5.0,3.460486135028762,3.4555000000000002,
5.0,3.3330164165862035,3.4799999999999995,
5.0,3.60079211130146,3.4215,
5.0,3.3153587149531787,3.4699999999999998,
