yr,u,y,fs
0.0,0.0,0.0,10.0
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
4.0,5.0,0.0,
4.0,5.0,1.6325,
4.0,0.0,3.8955,
4.0,2.7452085000000013,3.3185,
4.0,3.3651441636,3.123,
4.0,2.755543347389761,3.2600000000000002,
4.0,3.0336465024080295,3.2015,
4.0,3.0363154043556935,3.1965,
4.0,2.8971222965598558,3.2305,
4.0,3.0450334497432996,3.1965,
4.0,2.8969618845247243,3.2305,
4.0,3.024731401324746,3.2015,
4.0,2.8781004422156258,3.2355,
4.0,2.9875689518632336,3.211,
4.0,2.9600067312857177,3.216,
4.0,3.0610783761443443,3.1915,
4.0,2.913871157878945,3.226,
4.0,2.923962770695028,3.226,
4.0,3.0435765850192125,3.1965,
4.0,2.9558731908356477,3.216,
4.0,2.961659933288625,3.216,
4.0,2.9615534572274904,3.216,
4.0,3.0204399163870157,3.2015,
4.0,2.9370639055384795,3.221,
4.0,2.9630760241380933,3.216,
4.0,3.02041190115586,3.2015,
4.0,2.916759421018733,3.226,
4.0,2.944214626653256,3.221,
4.0,2.983249450869581,3.211,
4.0,2.8402867101039995,3.2455,
4.0,3.0898992245340877,3.1864999999999997,
4.0,2.9325758542685736,3.221,
4.0,2.942853604281459,3.221,
4.0,3.0218539936812223,3.2015,
4.0,2.9167328865162667,3.226,
4.0,3.0234046148881015,3.2015,
4.0,2.9573143550860603,3.216,
4.0,2.9819384158664173,3.211,
4.0,2.9601103331480587,3.216,
4.0,2.961581969870077,3.216,
4.0,2.9818598917543913,3.211,
4.0,2.88092227799172,3.2355,
4.0,2.946907030084953,3.221,
4.0,3.001474410646438,3.2065,
4.0,2.9790928708441067,3.211,
4.0,2.9601626911764694,3.216,
4.0,2.9026965064823536,3.2305,
4.0,3.0246258842807254,3.2015,
4.0,2.977596883729236,3.211,
4.0,2.9398852173393824,3.221,
0.0,0.0,3.211,
0.0,0.0,2.5905,
0.0,0.0,1.8425,
0.0,0.0,1.2025,
0.0,0.0,0.518,
0.0,0.110852,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
0.0,0.0,0.0,
5.0,5.0,0.0,
5.0,5.0,1.73,
5.0,3.4763310000000014,3.949,
5.0,4.791432509599999,3.749,
5.0,3.59344614182336,4.0275,
5.0,4.509623590990452,3.822,
5.0,4.308684425925776,3.8565,
5.0,4.439564206562966,3.827,
5.0,4.489727518599242,3.8125,
5.0,4.327322513657775,3.8514999999999997,
5.0,4.478761265748698,3.8169999999999997,
5.0,4.369097292710224,3.8415,
5.0,4.394632609814132,3.8369999999999997,
5.0,4.45411475997942,3.822,
5.0,4.409200288416379,3.832,
5.0,4.432471714693139,3.827,
5.0,4.351784020449646,3.8465,
5.0,4.477241174023727,3.8169999999999997,
5.0,4.369125262397963,3.8415,
5.0,4.394632095171878,3.8369999999999997,
5.0,4.4926942694488385,3.8125,
5.0,4.288688425442142,3.8609999999999998,
5.0,4.440895132971865,3.827,
5.0,4.4897030295533185,3.8125,
5.0,4.347627964256219,3.8465,
5.0,4.477317645457687,3.8169999999999997,
5.0,4.348818855323579,3.8465,
5.0,4.436685733062046,3.827,
5.0,4.372011482511659,3.8415,
5.0,4.514378488721786,3.8074999999999997,
5.0,4.266914435807519,3.866,
5.0,4.5012502743811424,3.8125,
5.0,4.306805494951387,3.8565,
