u,y,fs
1,0,500
1,0.7673509286,
1,0.8748778104,
1,0.9237536657,
1,1.021505376,
1,1.026392962,
1,1.075268817,
1,0.9872922776,
1,1.10459433,
1,1.036168133,
1,1.00684262,
1,1.075268817,
1,1.070381232,
1,1.055718475,
1,1.070381232,
1,1.036168133,
1,1.060606061,
1,1.031280547,
1,1.031280547,
1,1.10459433,
1,1.094819159,
1,1.055718475,
1,1.055718475,
1,1.055718475,
1,1.094819159,
1,1.124144673,
1,1.041055718,
1,1.060606061,
1,1.114369501,
1,1.065493646,
1,1.080156403,
1,1.085043988,
1,1.045943304,
1,1.124144673,
1,1.085043988,
1,1.075268817,
1,1.070381232,
1,1.026392962,
1,1.05083089,
1,1.085043988,
1,1.089931574,
1,1.109481916,
1,1.065493646,
1,1.138807429,
1,1.070381232,
1,1.070381232,
1,1.153470186,
1,1.085043988,
1,1.041055718,
1,1.080156403,
1,1.055718475,
1,1.109481916,
1,1.129032258,
1,1.099706745,
1,1.055718475,
1,1.099706745,
1,1.133919844,
1,1.119257087,
1,1.016617791,
1,1.055718475,
1,1.021505376,
1,1.109481916,
1,1.060606061,
1,1.065493646,
1,1.089931574,
1,1.089931574,
1,1.080156403,
1,1.089931574,
1,1.045943304,
1,1.094819159,
1,1.080156403,
1,1.099706745,
1,1.031280547,
1,1.065493646,
1,1.089931574,
1,1.041055718,
1,1.089931574,
1,1.080156403,
1,1.124144673,
1,1.036168133,
2,1.05083089,
2,1.441837732,
2,1.803519062,
2,2.033235582,
2,2.160312805,
2,2.223851417,
2,2.267839687,
2,2.311827957,
2,2.350928641,
2,2.355816227,
2,2.399804497,
2,2.399804497,
2,2.424242424,
2,2.414467253,
2,2.438905181,
2,2.414467253,
2,2.443792766,
2,2.419354839,
2,2.424242424,
2,2.443792766,
2,2.419354839,
2,2.458455523,
2,2.42913001,
2,2.453567937,
2,2.414467253,
2,2.448680352,
2,2.434017595,
2,2.443792766,
2,2.42913001,
2,2.424242424,
2,2.458455523,
2,2.458455523,
2,2.468230694,
2,2.438905181,
2,2.438905181,
2,2.438905181,
2,2.443792766,
2,2.458455523,
2,2.443792766,
2,2.463343109,
2,2.434017595,
2,2.443792766,
2,2.458455523,
2,2.453567937,
2,2.463343109,
2,2.438905181,
2,2.453567937,
2,2.468230694,
2,2.443792766,
2,2.453567937,
2,2.478005865,
2,2.448680352,
2,2.448680352,
2,2.47311828,
2,2.42913001,
2,2.42913001,
2,2.448680352,
2,2.453567937,
2,2.448680352,
2,2.42913001,
2,2.443792766,
2,2.42913001,
2,2.468230694,
2,2.424242424,
2,2.468230694,
2,2.453567937,
2,2.438905181,
2,2.458455523,
2,2.438905181,
2,2.438905181,
2,2.443792766,
2,2.463343109,
2,2.463343109,
2,2.492668622,
2,2.453567937,
2,2.453567937,
2,2.453567937,
2,2.448680352,
2,2.453567937,
2,2.487781036,
3,2.434017595,
3,2.688172043,
3,2.908113392,
3,3.044965787,
3,3.113391984,
3,3.186705767,
3,3.191593353,
3,3.201368524,
3,3.220918866,
3,3.211143695,
3,3.216031281,
3,3.211143695,
3,3.250244379,
3,3.206256109,
3,3.216031281,
3,3.220918866,
3,3.245356794,
3,3.245356794,
3,3.230694037,
3,3.235581623,
3,3.26001955,
3,3.245356794,
3,3.220918866,
3,3.245356794,
3,3.240469208,
3,3.225806452,
3,3.264907136,
3,3.235581623,
3,3.235581623,
3,3.240469208,
3,3.245356794,
3,3.230694037,
3,3.235581623,
3,3.225806452,
3,3.240469208,
3,3.235581623,
3,3.220918866,
3,3.230694037,
3,3.240469208,
3,3.240469208,
3,3.250244379,
3,3.235581623,
3,3.235581623,
3,3.240469208,
3,3.255131965,
3,3.26001955,
3,3.225806452,
3,3.225806452,
3,3.240469208,
3,3.230694037,
3,3.250244379,
3,3.230694037,
3,3.235581623,
3,3.250244379,
3,3.240469208,
3,3.245356794,
3,3.230694037,
3,3.216031281,
3,3.230694037,
3,3.26001955,
3,3.255131965,
3,3.230694037,
3,3.240469208,
3,3.230694037,
3,3.230694037,
3,3.240469208,
3,3.245356794,
3,3.220918866,
3,3.245356794,
3,3.220918866,
3,3.216031281,
3,3.225806452,
3,3.216031281,
3,3.220918866,
3,3.225806452,
3,3.220918866,
3,3.225806452,
3,3.235581623,
3,3.235581623,
3,3.240469208,
4,3.250244379,
4,3.39198436,
4,3.514173998,
4,3.602150538,
4,3.636363636,
4,3.66568915,
4,3.655913978,
4,3.660801564,
4,3.655913978,
4,3.680351906,
4,3.66568915,
4,3.655913978,
4,3.680351906,
4,3.680351906,
4,3.655913978,
4,3.66568915,
4,3.66568915,
4,3.660801564,
4,3.660801564,
4,3.675464321,
4,3.670576735,
4,3.66568915,
4,3.675464321,
4,3.675464321,
4,3.655913978,
4,3.680351906,
4,3.670576735,
4,3.66568915,
4,3.675464321,
4,3.690127077,
4,3.685239492,
4,3.675464321,
4,3.66568915,
4,3.675464321,
4,3.66568915,
4,3.66568915,
4,3.695014663,
4,3.690127077,
4,3.699902248,
4,3.675464321,
4,3.680351906,
4,3.660801564,
4,3.675464321,
4,3.675464321,
4,3.670576735,
4,3.66568915,
4,3.655913978,
4,3.655913978,
4,3.675464321,
4,3.695014663,
4,3.655913978,
4,3.675464321,
4,3.670576735,
4,3.685239492,
4,3.680351906,
4,3.670576735,
4,3.685239492,
4,3.670576735,
4,3.699902248,
4,3.66568915,
4,3.695014663,
4,3.680351906,
4,3.690127077,
4,3.680351906,
4,3.680351906,
4,3.680351906,
4,3.699902248,
4,3.675464321,
4,3.670576735,
4,3.675464321,
4,3.66568915,
4,3.690127077,
4,3.690127077,
