u,y,fs
0,0,500
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
4.95,0,
4.95,0.7966764418,
4.95,1.886608016,
4.95,3.11827957,
4.95,3.919843597,
4.95,4.076246334,
4.95,4.100684262,
4.95,4.08113392,
4.95,4.056695992,
0,4.076246334,
0,3.841642229,
4.95,3.167155425,
4.95,3.284457478,
4.95,3.910068426,
4.95,4.007820137,
4.95,4.017595308,
4.95,3.978494624,
4.95,3.99315738,
0,4.022482893,
0,3.76344086,
0,3.211143695,
0,2.668621701,
4.95,2.130987292,
4.95,2.326490714,
4.95,3.587487781,
4.95,3.958944282,
4.95,4.090909091,
0,4.130009775,
0,3.856304985,
4.95,3.289345064,
4.95,3.39198436,
0,3.978494624,
0,3.846529814,
4.95,3.338220919,
4.95,3.455522972,
4.95,3.963831867,
0,4.095796676,
0,3.914956012,
0,3.328445748,
0,2.805474096,
0,2.24340176,
0,1.798631476,
0,1.265884653,
0,0.899315738,
4.95,0.4398826979,
0,0.7331378299,
0,2.258064516,
4.95,1.994134897,
4.95,2.292277615,
4.95,3.646138807,
4.95,4.012707722,
4.95,4.139784946,
4.95,4.159335288,
0,4.183773216,
4.95,3.792766373,
0,3.846529814,
0,3.631476051,
0,2.991202346,
4.95,2.404692082,
4.95,2.84457478,
4.95,3.866080156,
4.95,4.105571848,
0,4.154447703,
4.95,3.748778104,
4.95,3.797653959,
0,4.042033236,
4.95,3.636363636,
0,3.699902248,
0,3.543499511,
4.95,2.952101662,
4.95,3.382209189,
0,3.958944282,
4.95,3.670576735,
0,3.709677419,
0,3.57771261,
4.95,2.927663734,
4.95,3.34799609,
0,3.954056696,
0,3.685239492,
0,3.015640274,
0,2.478005865,
4.95,2.033235582,
4.95,2.380254154,
0,3.470185728,
0,3.558162268,
0,2.898338221,
0,2.292277615,
0,1.764418377,
4.95,1.344086022,
4.95,1.827956989,
0,3.015640274,
0,3.367546432,
0,2.790811339,
0,2.311827957,
4.95,1.749755621,
4.95,2.130987292,
4.95,3.445747801,
0,3.99315738,
0,3.817204301,
0,3.211143695,
0,2.600195503,
4.95,2.174975562,
4.95,2.634408602,
0,3.71945259,
0,3.709677419,
4.95,3.103616813,
0,3.313782991,
0,3.440860215,
4.95,2.908113392,
4.95,3.128054741,
0,3.885630499,
0,3.704789834,
0,3.152492669,
0,2.536656891,
0,2.018572825,
4.95,1.520039101,
0,1.891495601,
0,2.952101662,
0,2.365591398,
0,1.862170088,
0,1.490713587,
4.95,0.9970674487,
4.95,1.451612903,
4.95,2.825024438,
0,3.870967742,
4.95,3.734115347,
0,3.76344086,
4.95,3.685239492,
4.95,3.743890518,
4.95,4.086021505,
0,4.17888563,
0,3.831867058,
4.95,3.299120235,
0,3.607038123,
4.95,3.504398827,
4.95,3.602150538,
4.95,4.066471163,
0,4.183773216,
4.95,3.89540567,
0,3.905180841,
0,3.685239492,
0,3.040078201,
4.95,2.551319648,
4.95,2.712609971,
0,3.880742913,
4.95,3.768328446,
0,3.768328446,
4.95,3.729227761,
4.95,3.768328446,
0,4.066471163,
4.95,3.812316716,
0,3.778103617,
0,3.690127077,
0,3.167155425,
4.95,2.634408602,
4.95,2.947214076,
4.95,3.870967742,
0,4.12512219,
0,3.822091887,
4.95,3.211143695,
4.95,3.553274682,
0,4.061583578,
4.95,3.817204301,
0,3.787878788,
0,3.699902248,
4.95,3.128054741,
0,3.494623656,
0,3.558162268,
0,2.961876833,
0,2.360703812,
0,1.876832845,
4.95,1.432062561,
4.95,1.88172043,
0,3.264907136,
0,3.528836755,
4.95,2.908113392,
0,3.16226784,
4.95,3.567937439,
4.95,3.62170088,
4.95,4.002932551,
0,4.144672532,
0,3.914956012,
0,3.401759531,
0,2.883675464,
0,2.346041056,
4.95,1.793743891,
4.95,2.15542522,
0,3.308895406,
4.95,3.523949169,
0,3.626588465,
0,3.563049853,
4.95,2.947214076,
4.95,3.137829912,
4.95,3.954056696,
0,4.110459433,
0,3.890518084,
0,3.333333333,
4.95,2.898338221,
4.95,3.30400782,
0,3.94916911,
0,3.753665689,
0,3.186705767,
4.95,2.590420332,
0,2.956989247,
0,3.289345064,
4.95,2.849462366,
0,3.059628543,
0,3.352883675,
0,2.732160313,
0,2.272727273,
4.95,1.783968719,
0,2.121212121,
4.95,2.88856305,
0,3.0742913,
0,3.294232649,
4.95,2.829912023,
0,3.167155425,
4.95,3.401759531,
4.95,3.709677419,
0,4.061583578,
4.95,3.782991202,
4.95,3.812316716,
4.95,4.105571848,
0,4.17888563,
0,3.890518084,
4.95,3.299120235,
4.95,3.558162268,
0,4.042033236,
0,3.836754643,
4.95,3.250244379,
0,3.343108504,
4.95,3.519061584,
0,3.709677419,
0,3.62170088,
0,3.147605083,
0,2.580645161,
0,2.170087977,
0,1.681329423,
0,1.23655914,
4.95,0.8602150538,
4.95,1.37829912,
4.95,2.859237537,
0,3.914956012,
4.95,3.792766373,
4.95,3.782991202,
4.95,4.120234604,
4.95,4.183773216,
4.95,4.193548387,
0,4.213098729,
0,3.910068426,
4.95,3.411534702,
0,3.651026393,
4.95,3.607038123,
0,3.714565005,
4.95,3.626588465,
4.95,3.724340176,
4.95,4.090909091,
0,4.164222874,
0,3.856304985,
0,3.323558162,
4.95,2.732160313,
4.95,2.971652004,
4.95,3.954056696,
4.95,4.12512219,
0,4.203323558,
4.95,3.846529814,
0,3.80742913,
0,3.685239492,
4.95,3.0742913,
0,3.294232649,
0,3.499511241,
4.95,3.044965787,
4.95,3.333333333,
0,3.998044966,
4.95,3.797653959,
4.95,3.812316716,
0,4.115347019,
0,3.856304985,
4.95,3.294232649,
0,3.582600196,
0,3.543499511,
0,2.981427175,
0,2.561094819,
4.95,2.126099707,
0,2.531769306,
0,3.172043011,
0,2.693059629,
0,2.253176931,
4.95,1.700879765,
0,2.19941349,
4.95,2.776148583,
4.95,3.137829912,
0,3.856304985,
4.95,3.670576735,
0,3.739002933,
4.95,3.646138807,
4.95,3.709677419,
0,3.963831867,
4.95,3.743890518,
4.95,3.704789834,
0,3.973607038,
0,3.743890518,
4.95,3.216031281,
4.95,3.57771261,
4.95,3.963831867,
0,4.027370479,
0,3.660801564,
4.95,3.172043011,
0,3.401759531,
0,3.362658847,
0,2.839687195,
0,2.233626588,
0,1.691104594,
4.95,1.158357771,
0,1.749755621,
0,2.854349951,
0,2.214076246,
4.95,1.65200391,
0,2.106549365,
4.95,2.908113392,
4.95,3.250244379,
4.95,3.861192571,
0,3.958944282,
4.95,3.611925709,
0,3.680351906,
4.95,3.494623656,
0,3.631476051,
4.95,3.538611926,
4.95,3.66568915,
0,3.983382209,
4.95,3.753665689,
0,3.709677419,
4.95,3.543499511,
4.95,3.548387097,
4.95,3.880742913,
4.95,3.988269795,
4.95,4.032258065,
0,4.017595308,
0,3.71945259,
