u,y,fs
0,0,500
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0.025,0,
0.05,0,
0.075,0,
0.1,0,
0.125,0,
0.15,0,
0.175,0,
0.2,0,
0.225,0,
0.25,0,
0.275,0,
0.3,0,
0.325,0,
0.35,0,
0.375,0,
0.4,0,
0.425,0,
0.45,0,
0.475,0,
0.5,0,
0.525,0,
0.55,0,
0.575,0,
0.6,0,
0.625,0,
0.65,0.05376344086,
0.675,0.156402737,
0.7,0.1955034213,
0.725,0.3714565005,
0.75,0.3861192571,
0.775,0.5327468231,
0.8,0.5278592375,
0.825,0.596285435,
0.85,0.6989247312,
0.875,0.6891495601,
0.9,0.7380254154,
0.925,0.7820136852,
0.95,0.8455522972,
0.975,0.8553274682,
1,0.96285435,
1.025,1.031280547,
1.05,1.031280547,
1.075,1.031280547,
1.1,1.094819159,
1.125,1.133919844,
1.15,1.217008798,
1.175,1.251221896,
1.2,1.28054741,
1.225,1.314760508,
1.25,1.314760508,
1.275,1.383186706,
1.3,1.456500489,
1.325,1.456500489,
1.35,1.520039101,
1.375,1.520039101,
1.4,1.568914956,
1.425,1.612903226,
1.45,1.637341153,
1.475,1.691104594,
1.5,1.710654936,
1.525,1.783968719,
1.55,1.769305963,
1.575,1.83773216,
1.6,1.891495601,
1.625,1.911045943,
1.65,1.935483871,
1.675,1.96969697,
1.7,1.974584555,
1.725,2.008797654,
1.75,2.057673509,
1.775,2.086999022,
1.8,2.135874878,
1.825,2.150537634,
1.85,2.15542522,
1.875,2.238514174,
1.9,2.238514174,
1.925,2.277614858,
1.95,2.292277615,
1.975,2.321603128,
2,2.360703812,
2.025,2.38514174,
2.05,2.409579668,
2.075,2.443792766,
2.1,2.448680352,
2.125,2.468230694,
2.15,2.52688172,
2.175,2.52688172,
2.2,2.590420332,
2.225,2.57086999,
2.25,2.609970674,
2.275,2.634408602,
2.3,2.683284457,
2.325,2.683284457,
2.35,2.717497556,
2.375,2.751710655,
2.4,2.75659824,
2.425,2.790811339,
2.45,2.781036168,
2.475,2.829912023,
2.5,2.839687195,
2.525,2.839687195,
2.55,2.883675464,
2.575,2.927663734,
2.6,2.927663734,
2.625,2.961876833,
2.65,2.991202346,
2.675,2.986314761,
2.7,2.986314761,
2.725,3.020527859,
2.75,3.044965787,
2.775,3.049853372,
2.8,3.069403715,
2.825,3.079178886,
2.85,3.108504399,
2.875,3.152492669,
2.9,3.123167155,
2.925,3.137829912,
2.95,3.132942326,
2.975,3.181818182,
3,3.230694037,
3.025,3.196480938,
3.05,3.240469208,
3.075,3.235581623,
3.1,3.255131965,
3.125,3.279569892,
3.15,3.284457478,
3.175,3.289345064,
3.2,3.333333333,
3.225,3.357771261,
3.25,3.357771261,
3.275,3.352883675,
3.3,3.362658847,
3.325,3.39198436,
3.35,3.396871945,
3.375,3.387096774,
3.4,3.426197458,
3.425,3.440860215,
3.45,3.43597263,
3.475,3.431085044,
3.5,3.470185728,
3.525,3.48973607,
3.55,3.470185728,
3.575,3.509286413,
3.6,3.514173998,
3.625,3.523949169,
3.65,3.548387097,
3.675,3.553274682,
3.7,3.528836755,
3.725,3.553274682,
3.75,3.567937439,
3.775,3.607038123,
3.8,3.592375367,
3.825,3.616813294,
3.85,3.616813294,
3.875,3.631476051,
3.9,3.626588465,
3.925,3.636363636,
3.95,3.646138807,
3.975,3.651026393,
4,3.670576735,
4.025,3.66568915,
4.05,3.690127077,
4.075,3.685239492,
4.1,3.695014663,
4.125,3.709677419,
4.15,3.724340176,
4.175,3.739002933,
4.2,3.729227761,
4.225,3.739002933,
4.25,3.753665689,
4.275,3.778103617,
4.3,3.768328446,
4.325,3.782991202,
4.35,3.792766373,
4.375,3.773216031,
4.4,3.812316716,
4.425,3.822091887,
4.45,3.836754643,
4.475,3.836754643,
4.5,3.822091887,
4.525,3.826979472,
4.55,3.861192571,
4.575,3.885630499,
4.6,3.89540567,
4.625,3.910068426,
4.65,3.929618768,
4.675,3.963831867,
4.7,3.973607038,
4.725,4.002932551,
4.75,4.017595308,
4.775,4.061583578,
4.8,4.08113392,
4.825,4.086021505,
4.85,4.134897361,
4.875,4.154447703,
4.9,4.183773216,
4.925,4.188660802,
4.95,4.227761486,
4.975,4.237536657,
5,4.232649071,
5,4.2228739,
5,4.242424242,
5,4.232649071,
5,4.227761486,
5,4.2228739,
5,4.2228739,
5,4.2228739,
5,4.242424242,
5,4.252199413,
5,4.237536657,
5,4.247311828,
5,4.237536657,
5,4.237536657,
5,4.2228739,
5,4.232649071,
5,4.232649071,
5,4.242424242,
5,4.237536657,
5,4.237536657,
5,4.247311828,
5,4.237536657,
5,4.247311828,
5,4.242424242,
5,4.252199413,
5,4.227761486,
5,4.252199413,
5,4.232649071,
5,4.242424242,
5,4.247311828,
5,4.232649071,
5,4.227761486,
5,4.242424242,
5,4.2228739,
5,4.247311828,
5,4.227761486,
5,4.242424242,
5,4.252199413,
5,4.232649071,
5,4.252199413,
5,4.232649071,
5,4.2228739,
5,4.237536657,
5,4.242424242,
5,4.227761486,
5,4.227761486,
5,4.237536657,
5,4.252199413,
5,4.242424242,
5,4.227761486,
5,3.870967742,
5,4.242424242,
5,4.242424242,
5,4.227761486,
5,4.237536657,
5,4.237536657,
5,4.232649071,
5,4.232649071,
5,4.227761486,
5,4.242424242,
5,4.252199413,
5,4.237536657,
5,4.242424242,
5,4.247311828,
5,4.227761486,
5,4.227761486,
5,4.252199413,
5,4.232649071,
5,4.227761486,
5,4.237536657,
5,4.232649071,
5,4.242424242,
5,4.247311828,
5,4.232649071,
5,4.227761486,
5,4.2228739,
5,4.217986315,
5,4.247311828,
5,4.237536657,
5,4.217986315,
5,4.2228739,
5,4.2228739,
5,4.237536657,
5,4.237536657,
5,4.232649071,
5,4.2228739,
5,4.2228739,
5,4.247311828,
5,4.232649071,
5,4.2228739,
5,4.2228739,
5,4.227761486,
5,4.227761486,
5,4.237536657,
5,4.242424242,
5,4.242424242,
5,4.227761486,
5,4.247311828,
5,4.237536657,
5,4.227761486,
5,4.227761486,
5,4.237536657,
5,4.242424242,
5,4.247311828,
5,4.252199413,
5,4.227761486,
5,4.247311828,
5,4.227761486,
5,4.232649071,
5,4.227761486,
5,4.247311828,
5,4.247311828,
5,4.227761486,
5,4.242424242,
5,4.227761486,
5,4.242424242,
5,4.247311828,
5,4.227761486,
5,4.227761486,
5,4.227761486,
5,4.237536657,
5,4.242424242,
